"","category","subcategory","gender","count"
"198","Food","Scandinavian Restaurant","female",0.206896551724138
"199","GreatOutdoors","Scenic Lookout","female",0
"200","Work","School","female",0.137931034482759
"201","Arts","Science Museum","female",0.0172413793103448
"202","Food","Seafood Restaurant","female",0.0172413793103448
"203","Shop","Shoe Store","female",0
"204","GreatOutdoors","Skate Park","female",0.0172413793103448
"205","GreatOutdoors","Ski Area","female",0.0172413793103448
"206","GreatOutdoors","Ski Chairlift","female",0
"207","Shop","Smoke Shop","female",0
"208","Food","Snack Place","female",0
"209","GreatOutdoors","Soccer Field","female",0.0172413793103448
"210","Arts","Soccer Stadium","female",0.0517241379310345
"211","Shop","Spa / Massage","female",0
"212","Food","Spanish Restaurant","female",0
"213","Work","Spiritual Center","female",0.0172413793103448
"214","Shop","Sporting Goods Shop","female",0.0344827586206897
"215","Nightlife","Sports Bar","female",0.0344827586206897
"216","GreatOutdoors","Stables","female",0.0172413793103448
"217","Arts","Stadium","female",0.0172413793103448
"218","Food","Steakhouse","female",0.0172413793103448
"219","Education","Student Center","female",0.0172413793103448
"220","Travel","Subway","female",0.293103448275862
"221","GreatOutdoors","Surf Spot","female",0
"222","Food","Sushi Restaurant","female",0.0344827586206897
"223","Food","Taco Place","female",0
"224","Food","Tapas Restaurant","female",0
"225","Shop","Tattoo Parlor","female",0.0172413793103448
"226","Work","Tech Startup","female",0.0344827586206897
"227","GreatOutdoors","Tennis","female",0
"228","GreatOutdoors","Tennis Court","female",0
"229","Food","Thai Restaurant","female",0.0517241379310345
"230","Arts","Theater","female",0.0172413793103448
"231","Arts","Theme Park","female",0.0172413793103448
"232","Shop","Toy / Game Store","female",0
"233","GreatOutdoors","Track Stadium","female",0
"234","Education","Trade School","female",0
"235","Travel","Train Station","female",0.706896551724138
"236","Food","Turkish Restaurant","female",0
"237","Education","University","female",0.137931034482759
"238","Food","Vegetarian / Vegan Restaurant","female",0
"239","Work","Veterinarian","female",0.0172413793103448
"240","Shop","Video Store","female",0.0172413793103448
"241","Arts","Water Park","female",0.0172413793103448
"242","Nightlife","Whisky Bar","female",0
"243","Nightlife","Wine Bar","female",0
"244","Food","Winery","female",0
"245","Work","Yoga Studio","female",0.0172413793103448
"246","Arts","Zoo","female",0
