"","category","subcategory","gender","count"
"163","Arts","Music Venue","male",0.0207253886010363
"164","GreatOutdoors","Neighborhood","male",0.077720207253886
"165","Nightlife","Nightclub","male",0.0518134715025907
"166","Work","Office","male",0.875647668393782
"167","Arts","Opera House","male",0.00518134715025907
"168","Shop","Optical Shop","male",0.00518134715025907
"169","GreatOutdoors","Other Great Outdoors","male",0.119170984455959
"170","Nightlife","Other Nightlife","male",0.0103626943005181
"171","GreatOutdoors","Outdoors & Recreation","male",0.0155440414507772
"172","GreatOutdoors","Park","male",0.0621761658031088
"173","Arts","Performing Arts Venue","male",0.0207253886010363
"174","Shop","Pet Store","male",0.00518134715025907
"175","Shop","Photography Lab","male",0.00518134715025907
"176","GreatOutdoors","Pier","male",0.0155440414507772
"177","Food","Pizza Place","male",0.103626943005181
"178","Travel","Plane","male",0.00518134715025907
"179","Travel","Platform","male",0.0103626943005181
"180","GreatOutdoors","Playground","male",0.0621761658031088
"181","GreatOutdoors","Plaza","male",0.119170984455959
"182","Work","Police Station","male",0.00518134715025907
"183","Home","Pool","male",0.0207253886010363
"184","Work","Post Office","male",0.00518134715025907
"185","Work","Professional & Other Places","male",0.0207253886010363
"186","Nightlife","Pub","male",0.119170984455959
"187","Work","Radio Station","male",0.0207253886010363
"188","Food","Ramen /  Noodle House","male",0.0103626943005181
"189","Shop","Recycling Facility","male",0.0155440414507772
"190","Shop","Rental Car Location","male",0.00518134715025907
"191","Home","Residential Building (Apartment / Condo)","male",0.0569948186528497
"192","Travel","Resort","male",0.0207253886010363
"193","Food","Restaurant","male",0.103626943005181
"194","Travel","Road","male",0.0103626943005181
"195","Arts","Rock Club","male",0.0362694300518135
"196","Food","Salad Place","male",0.0103626943005181
"197","Shop","Salon / Barbershop","male",0.0155440414507772
"198","Food","Sandwich Place","male",0.0155440414507772
"199","Food","Scandinavian Restaurant","male",0.145077720207254
"200","GreatOutdoors","Scenic Lookout","male",0.0155440414507772
"201","Work","School","male",0.0621761658031088
"202","Arts","Science Museum","male",0
"203","Food","Seafood Restaurant","male",0.00518134715025907
"204","Shop","Shoe Store","male",0.00518134715025907
"205","GreatOutdoors","Skate Park","male",0
"206","GreatOutdoors","Ski Area","male",0
"207","GreatOutdoors","Ski Chairlift","male",0.00518134715025907
"208","Shop","Smoke Shop","male",0.00518134715025907
"209","Food","Snack Place","male",0.00518134715025907
"210","GreatOutdoors","Soccer Field","male",0.0259067357512953
"211","Arts","Soccer Stadium","male",0.0621761658031088
"212","Shop","Spa / Massage","male",0.00518134715025907
"213","Food","Spanish Restaurant","male",0.0155440414507772
"214","Work","Spiritual Center","male",0.0207253886010363
"215","Shop","Sporting Goods Shop","male",0.0103626943005181
"216","Nightlife","Sports Bar","male",0.0414507772020725
"217","GreatOutdoors","Stables","male",0
"218","Arts","Stadium","male",0.0466321243523316
"219","Food","Steakhouse","male",0.0310880829015544
"220","Education","Student Center","male",0.00518134715025907
"221","Travel","Subway","male",0.160621761658031
"222","GreatOutdoors","Surf Spot","male",0.00518134715025907
"223","Food","Sushi Restaurant","male",0.0569948186528497
"224","Food","Taco Place","male",0.00518134715025907
"225","Food","Tapas Restaurant","male",0.0207253886010363
"226","Shop","Tattoo Parlor","male",0
"227","Work","Tech Startup","male",0.0569948186528497
